"msv","mhp","a","b","c"
"1721050251","7080112","9","3","2"
"1721050251","7080116","7","8","8"
"1721050251","7080206","10","6","5"
"1721050251","7080512","0","5","0"
"1721050409","7080112","9","0","7"
"1721050409","7080116","0","0","6"
"1721050409","7080206","2","7","6"
"1721050409","7080512","8","3","10"
"1821050160","7080112","2","4","10"
"1821050160","7080116","8","9","10"
"1821050160","7080206","4","6","1"
"1821050160","7080512","10","5","9"
"1821050161","7080112","4","6","10"
"1821050161","7080116","0","0","8"
"1821050161","7080206","3","1","0"
"1821050161","7080512","8","10","3"
"1821050709","7080112","3","9","4"
"1821050709","7080116","8","7","10"
"1821050709","7080206","3","0","9"
"1821050709","7080512","5","5","7"
"1821050942","7080112","2","9","9"
"1821050942","7080116","7","8","8"
"1821050942","7080206","8","3","7"
"1821050942","7080512","9","5","1"
"1821051099","7080112","0","1","8"
"1821051099","7080116","6","9","10"
"1821051099","7080206","7","6","5"
"1821051099","7080512","10","8","7"
"1921050080","7080112","4","0","8"
"1921050080","7080116","8","8","8"
"1921050114","7080112","9","10","7"
"1921050114","7080116","5","7","6"
"1921050195","7080112","7","8","8"
"1921050195","7080116","5","7","6"
"1921050206","7080112","2","4","5"
"1921050206","7080116","8","8","8"
"1921050245","7080112","3","1","5"
"1921050245","7080116","0","0","6"
"1921050245","7080206","5","10","6"
"1921050245","7080512","1","2","6"
"1921050346","7080112","7","7","4"
"1921050346","7080116","8","9","10"
"1921050346","7080206","4","4","2"
"1921050346","7080512","3","10","2"
"1921050563","7080112","7","0","3"
"1921050563","7080116","8","6","10"
"1921050563","7080206","6","8","6"
"1921050563","7080512","9","4","1"
"1921050700","7080112","6","5","9"
"1921050700","7080116","8","7","8"
"1921050700","7080206","1","7","1"
"1921050700","7080512","1","9","2"
"1921050769","7080112","0","4","10"
"1921050769","7080116","6","8","7"
"1921050769","7080206","1","9","4"
"1921050769","7080512","0","8","4"
"2021050068","7080112","3","2","3"
"2021050068","7080206","2","9","9"
"2021050068","7080512","10","0","2"
"2021050106","7080112","6","1","2"
"2021050106","7080206","8","4","9"
"2021050106","7080512","3","6","6"
"2021050113","7080112","2","10","1"
"2021050113","7080116","6","7","6"
"2021050113","7080206","5","3","9"
"2021050113","7080512","4","0","1"
"2021050151","7080112","5","7","0"
"2021050151","7080116","6","8","8"
"2021050151","7080206","7","2","5"
"2021050151","7080512","7","9","2"
"2021050153","7080112","0","9","1"
"2021050153","7080116","7","8","8"
"2021050153","7080206","2","6","9"
"2021050153","7080512","4","1","6"
"2021050160","7080112","9","9","4"
"2021050160","7080116","8","8","9"
"2021050160","7080206","0","1","9"
"2021050160","7080512","1","3","2"
"2021050173","7080112","5","3","6"
"2021050173","7080206","10","1","10"
"2021050173","7080512","6","10","9"
"2021050181","7080112","3","4","0"
"2021050181","7080116","0","0","6"
"2021050194","7080112","0","0","7"
"2021050203","7080112","3","4","10"
"2021050206","7080112","2","7","10"
"2021050206","7080116","5","9","10"
"2021050221","7080112","9","1","2"
"2021050222","7080112","6","3","5"
"2021050222","7080116","5","9","10"
"2021050233","7080112","10","3","4"
"2021050233","7080116","8","9","10"
"2021050246","7080112","2","4","4"
"2021050246","7080116","8","8","9"
"2021050266","7080112","7","2","5"
"2021050266","7080116","5","7","6"
"2021050270","7080112","8","4","1"
"2021050270","7080116","8","9","10"
"2021050312","7080112","8","6","2"
"2021050312","7080116","8","8","9"
"2021050319","7080112","6","5","10"
"2021050319","7080116","6","8","9"
"2021050319","7080206","2","5","0"
"2021050319","7080512","9","1","6"
"2021050326","7080112","7","4","7"
"2021050326","7080116","8","9","10"
"2021050326","7080206","4","10","7"
"2021050326","7080512","7","8","1"
"2021050343","7080112","5","0","2"
"2021050343","7080116","8","9","10"
"2021050343","7080206","7","9","1"
"2021050343","7080512","0","5","1"
"2021050344","7080112","9","3","5"
"2021050344","7080116","8","8","8"
"2021050344","7080206","4","1","2"
"2021050344","7080512","2","3","9"
"2021050352","7080112","5","7","5"
"2021050352","7080116","7","7","6"
"2021050352","7080206","8","5","7"
"2021050352","7080512","0","10","1"
"2021050362","7080112","2","10","4"
"2021050362","7080116","7","7","6"
"2021050362","7080206","0","7","7"
"2021050362","7080512","8","0","4"
"2021050363","7080112","6","1","3"
"2021050363","7080116","0","0","6"
"2021050363","7080206","9","7","5"
"2021050363","7080512","2","3","5"
"2021050367","7080112","10","9","2"
"2021050367","7080116","6","8","9"
"2021050367","7080206","2","6","10"
"2021050367","7080512","3","5","7"
"2021050372","7080112","4","6","6"
"2021050372","7080116","8","9","10"
"2021050373","7080112","9","5","7"
"2021050373","7080116","5","7","6"
"2021050377","7080112","6","1","2"
"2021050377","7080116","8","8","8"
"2021050406","7080112","4","6","10"
"2021050406","7080116","8","8","9"
"2021050418","7080112","7","10","4"
"2021050437","7080112","10","3","5"
"2021050437","7080116","0","0","6"
"2021050482","7080112","3","1","2"
"2021050482","7080116","7","9","10"
"2021050483","7080116","0","7","6"
"2021050483","7080206","0","3","2"
"2021050483","7080512","9","1","8"
"2021050524","7080206","10","7","1"
"2021050524","7080512","7","1","1"
"2021050548","7080116","9","7","9"
"2021050548","7080206","4","1","1"
"2021050548","7080512","8","1","3"
"2021050558","7080206","6","2","3"
"2021050558","7080512","9","0","6"
"2021050573","7080206","1","9","7"
"2021050573","7080512","2","2","7"
"2021050608","7080206","8","9","4"
"2021050608","7080512","3","2","0"
"2021050633","7080116","8","6","10"
"2021050633","7080206","1","7","7"
"2021050633","7080512","0","8","2"
"2021050691","7080206","0","2","5"
"2021050691","7080512","3","5","10"
"2021050708","7080206","3","1","4"
"2021050708","7080512","2","8","10"
"2021050852","7080116","0","0","6"
"2021050852","7080206","3","0","3"
"2021050852","7080512","4","2","3"
"2021050855","7080116","0","0","6"
"2021050855","7080206","5","6","1"
"2021050855","7080512","2","2","10"
"2021050874","7080206","8","0","5"
"2021050874","7080512","0","1","4"
"2024011226","7080512","9","2","7"
"2024011376","7080116","7","7","9"
"2024011376","7080206","5","6","10"
"2024011376","7080512","1","5","10"
"2121050140","7080116","6","7","8"
"2121050140","7080206","5","4","0"
"2121050140","7080512","9","0","0"
"2121050151","7080116","0","0","6"
"2121050151","7080206","8","10","2"
"2121050151","7080512","0","7","7"
"2121050152","7080116","0","8","9"
"2121050152","7080206","3","1","3"
"2121050152","7080512","0","1","7"
"2121050169","7080116","6","7","6"
"2121050169","7080206","5","0","3"
"2121050169","7080512","6","2","8"
"2121050190","7080116","6","7","7"
"2121050190","7080206","6","10","6"
"2121050190","7080512","4","1","5"
"2121050405","7080116","5","8","6"
"2121050405","7080206","2","1","6"
"2121050405","7080512","1","4","10"
"2121050765","7080116","6","8","9"
"2121050765","7080206","9","7","9"
"2121050765","7080512","8","8","4"
"2121050769","7080116","6","7","6"
"2121050769","7080206","8","8","10"
"2121050769","7080512","3","1","9"
"2121051087","7080116","6","8","9"
"2121051087","7080206","1","0","7"
"2121051087","7080512","9","9","10"
"2121051137","7080116","7","7","6"
"2121051137","7080206","0","6","8"
"2121051137","7080512","8","6","7"
"2121051194","7080116","0","7","6"
"2121051194","7080206","3","6","0"
"2121051194","7080512","8","4","2"
"2121051196","7080116","0","7","6"
"2121051196","7080206","7","10","4"
"2121051196","7080512","4","4","0"
"2121051293","7080116","6","8","8"
"2121051293","7080206","4","6","7"
"2121051293","7080512","4","4","9"
"2121051410","7080116","0","7","6"
"2121051410","7080206","2","1","0"
"2121051410","7080512","6","10","4"
"2121051416","7080116","5","8","8"
"2121051416","7080512","2","9","3"
"2121051437","7080116","0","7","6"
"2121051437","7080512","9","10","5"
"2121051472","7080116","0","0","9"
"2121051472","7080512","8","3","1"
